flower,type,href,height,weight,color,country,plantation,count_in_pack,availability,price,price_per_pack
Роза,Tr Royal Magic кустовая пионовидная ,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_royal_magic_kustovaya_pionovidnaya_60sm/,60 см,-,фиолетовый,Голландия,-,10,90,58.50,585.00
Гвоздика,St Moonlight White одноголовая,https://bbflowers.ru/catalog/gvozdika/gvozdika_odnogolovaya/gvozdika_st_moonlight_white_odnogolovaya_60sm/,60 см,-,белый,Голландия,-,20,40,58.50,1 170.00
Гвоздика,St Hanoi одноголовая,https://bbflowers.ru/catalog/gvozdika/gvozdika_odnogolovaya/gvozdika_st_hanoi_odnogolovaya_60sm/,60 см,-,кремовый,Голландия,-,20,40,58.50,1 170.00
Хризантема,T Stallion кустовая ,https://bbflowers.ru/catalog/hrizantema/hrizantema_kustovaya/hrizantema_t_stallion_kustovaya_70sm/,70 см,80 гр,белый,Голландия,-,5,60,59.50,297.50
Эустома,G Rosi Rose Pink,https://bbflowers.ru/catalog/eustoma/eustoma_g_rosi_rose_pink_75sm/,75 см,-,розовый,Голландия,-,10,10,65.50,655.00
Брассика,Rose Crane,https://bbflowers.ru/catalog/ekzotika/brassika_rose_crane_60sm/,60 см,-,розовый,Голландия,-,5,10,65.50,327.50
Антирринум,Poto Rose,https://bbflowers.ru/catalog/ekzotika/antirrinum_poto_rose_70sm/,70 см,-,розовый,Голландия,-,10,60,65.50,655.00
Эустома,G Rosi White,https://bbflowers.ru/catalog/eustoma/eustoma_g_rosi_white_75sm/,75 см,-,белый,Голландия,-,10,310,65.50,655.00
Эустома,G Excal Hot Lips,https://bbflowers.ru/catalog/eustoma/eustoma_g_excal_hot_lips_75sm/,75 см,-,бело-розовый,Голландия,-,10,60,65.50,655.00
Хризантема,T Altaj кустовая ,https://bbflowers.ru/catalog/hrizantema/hrizantema_kustovaya/hrizantema_t_altaj_kustovaya_70sm/,70 см,105 гр,белый,Голландия,-,5,45,65.50,327.50
Гвоздика,St Antarctica одноголовая,https://bbflowers.ru/catalog/gvozdika/gvozdika_odnogolovaya/gvozdika_st_antarctica_odnogolovaya_60sm/,60 см,-,белый,Голландия,-,20,20,65.50,1 310.00
Гиперикум,Coco Uno ,https://bbflowers.ru/catalog/ekzotika/giperikum_coco_uno_70sm/,70 см,-,белый,Голландия,-,10,80,65.50,655.00
Гиперикум,Coco Diablo ,https://bbflowers.ru/catalog/ekzotika/giperikum_coco_diablo_60sm/,60 см,-,красный,Голландия,-,10,10,65.50,655.00
Гипсофила,My Pink,https://bbflowers.ru/catalog/ekzotika/gipsofila_my_pink_75sm/,75 см,40 гр,розовый,Голландия,-,25,75,65.50,1 637.50
Гвоздика,St Moonlight одноголовая,https://bbflowers.ru/catalog/gvozdika/gvozdika_odnogolovaya/gvozdika_st_moonlight_odnogolovaya_60sm/,60 см,-,белый,Голландия,-,20,100,65.50,1 310.00
Оксипеталум,Co Tan Pure Blue,https://bbflowers.ru/catalog/ekzotika/oksipetalum_co_tan_pure_blue_60sm/,60 см,-,голубой,Голландия,-,10,10,65.50,655.00
Роза,Tr My Beauty кустовая,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_my_beauty_kustovaya_60sm/,60 см,-,кремовый,Голландия,-,10,30,65.50,655.00
Роза,Tr Glorious кустовая,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_glorious_kustovaya_60sm/,60 см,-,малиновый,Голландия,-,10,30,65.50,655.00
Трахелиум,Jade,https://bbflowers.ru/catalog/ekzotika/trahelium_jade_60sm/,60 см,-,зелёный,Голландия,-,10,50,65.50,655.00
Гиперикум,Coco Kimono ,https://bbflowers.ru/catalog/ekzotika/giperikum_coco_kimono_70sm/,70 см,-,розовый,Голландия,-,10,10,67.50,675.00
Гиперикум,Coco Kimono ,https://bbflowers.ru/catalog/ekzotika/giperikum_coco_kimono_60sm/,60 см,-,розовый,Голландия,-,10,10,69.50,695.00
Целозия,C Reprise Velvet,https://bbflowers.ru/catalog/ekzotika/celoziya_c_reprise_velvet_75sm/,75 см,-,малиновый,Голландия,-,10,15,69.50,695.00
Калла,Capt Promise,https://bbflowers.ru/catalog/ekzotika/kalla_capt_promise_60sm/,60 см,-,розовый,Голландия,-,10,40,69.50,695.00
Гипсофила,Pa Xlence ,https://bbflowers.ru/catalog/ekzotika/gipsofila_pa_xlence_80sm/,80 см,50 гр,белый,Голландия,-,25,125,69.50,1 737.50
Калла,Capt Trinity,https://bbflowers.ru/catalog/ekzotika/kalla_capt_trinity_80sm/,80 см,-,оранжевый,Голландия,-,10,40,69.50,695.00
Альстромерия,Mix Perfection,https://bbflowers.ru/catalog/alstromeriya/alstromeriya_mix_perfection_80sm/,80 см,-,микс,Колумбия,Andes Group,10,4840,69.50,695.00
Гипсофила,Pa Hora,https://bbflowers.ru/catalog/ekzotika/gipsofila_pa_hora_80sm/,80 см,50 гр,белый,Голландия,-,25,78,71.50,1 787.50
Хризантема,G Magnum Yellow одноголовая ,https://bbflowers.ru/catalog/hrizantema/hrizantema_odnogolovaya/hrizantema_g_magnum_yellow_odnogolovaya_70sm/,70 см,100 гр,жёлтый,Голландия,-,10,30,71.50,715.00
Леукадендрон,Safary Sunset,https://bbflowers.ru/catalog/ekzotika/leukadendron_safary_sunset_70sm/,70 см,-,красный,Голландия,-,10,20,75.50,755.00
Статица,Mix,https://bbflowers.ru/catalog/ekzotika/statica_mix_80sm/,80 см,34 гр,микс,Голландия,-,25,75,75.50,1 887.50
Пион,L Jacorma ,https://bbflowers.ru/catalog/pion/pion_l_jacorma_55sm/,55 см,-,розовый,Голландия,-,10,80,75.50,755.00
Роза,Tr Zadique кустовая ,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_zadique_kustovaya_60sm/,60 см,-,оранжевый,Голландия,-,10,50,78.50,785.00
Эустома,G Lisanne L Pink,https://bbflowers.ru/catalog/eustoma/eustoma_g_lisanne_l_pink_75sm/,75 см,-,розовый,Голландия,-,10,20,78.50,785.00
Хризантема,G Magnum одноголовая,https://bbflowers.ru/catalog/hrizantema/hrizantema_odnogolovaya/hrizantema_g_magnum_odnogolovaya_70sm/,70 см,110 гр,белый,Голландия,-,10,279,78.50,785.00
Хризантема,G Ksenia одноголовая,https://bbflowers.ru/catalog/hrizantema/hrizantema_odnogolovaya/hrizantema_g_ksenia_odnogolovaya_70sm/,70 см,-,розовый,Голландия,-,10,10,78.50,785.00
Роза,Gr Vendela Blue одноголовая,https://bbflowers.ru/catalog/roza/roza_keniya/roza_gr_vendela_blue_odnogolovaya_70sm/,70 см,-,синий,Голландия,-,10,20,78.50,785.00
Роза,Tr Salinero кустовая ,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_salinero_kustovaya_60sm/,60 см,-,кремовый,Голландия,-,10,10,78.50,785.00
Маттиола,Figaro L Rose,https://bbflowers.ru/catalog/ekzotika/mattiola_figaro_l_rose_55sm/,55 см,-,розовый,Голландия,-,10,90,79.50,795.00
Маттиола,Centum Lavander,https://bbflowers.ru/catalog/ekzotika/mattiola_centum_lavander_55sm/,50 см,-,лавандовый,Голландия,-,10,190,79.50,795.00
Маттиола,Anyt Pink,https://bbflowers.ru/catalog/ekzotika/mattiola_anyt_pink_55sm/,55 см,-,розовый,Голландия,-,10,40,79.50,795.00
Маттиола,Iron Yellow,https://bbflowers.ru/catalog/ekzotika/mattiola_iron_yellow_55sm/,55 см,-,жёлтый,Голландия,-,10,30,79.50,795.00
Маттиола,Aida White,https://bbflowers.ru/catalog/ekzotika/mattiola_aida_white_55sm/,55 см,-,белый,Голландия,-,10,14,79.50,795.00
Маттиола,Stox Antiq Rose,https://bbflowers.ru/catalog/ekzotika/mattiola_stox_antiq_rose_55sm/,55 см,-,шампань,Голландия,-,10,100,79.50,795.00
Маттиола,Iron Blue,https://bbflowers.ru/catalog/ekzotika/mattiola_iron_blue_55sm/,55 см,-,синий,Голландия,-,10,120,79.50,795.00
Калла,Gold Medal,https://bbflowers.ru/catalog/ekzotika/kalla_gold_medal_80sm/,80 см,-,жёлтый,Голландия,-,10,10,79.50,795.00
Калла,Capt Melrose,https://bbflowers.ru/catalog/ekzotika/kalla_capt_melrose_60sm/,60 см,-,розовый,Голландия,-,10,30,79.50,795.00
Маттиола,Figaro Lavander,https://bbflowers.ru/catalog/ekzotika/mattiola_figaro_lavander_55sm/,55 см,-,лавандовый,Голландия,-,10,40,79.50,795.00
Леукадендрон,Safary Blush,https://bbflowers.ru/catalog/ekzotika/leukadendron_safary_blush_60sm/,60 см,-,красный,Голландия,-,10,20,84.50,845.00
Роза,Tr Gen Trendsetter кустовая пионовидная,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_gen_trendsetter_kustovaya_pionovidnaya_70sm/,70 см,-,кремовый,Кения,-,10,35,85.50,855.00
Роза,Tr Cheyenne кустовая,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_cheyenne_kustovaya_60sm/,60 см,-,фиолетовый,Кения,-,10,10,85.50,855.00
Шамелациум,Adi,https://bbflowers.ru/catalog/ekzotika/shamelacium_adi_70sm_flower/,70 см,40 гр,розовый,Голландия,-,25,75,85.50,2 137.50
Леукадендрон,Safary Sunset,https://bbflowers.ru/catalog/ekzotika/leukadendron_safary_sunset_80sm/,80 см,-,красный,Голландия,-,10,30,85.50,855.00
Эустома,G Alissa Pink махровая,https://bbflowers.ru/catalog/eustoma/eustoma_g_alissa_pink_mahrovaya_75sm/,75 см,-,розовый,Голландия,-,10,10,85.50,855.00
Эустома,G Alissa White махровая,https://bbflowers.ru/catalog/eustoma/eustoma_g_alissa_white_mahrovaya_70sm/,70 см,-,белый,Голландия,-,10,30,85.50,855.00
Калла,Capt Ventura,https://bbflowers.ru/catalog/ekzotika/kalla_capt_ventura_60sm/,60 см,-,белый,Голландия,-,10,40,91.50,915.00
Роза,Tr Cream Bubbles ,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_cream_bubbles_60sm/,60 см,-,кремовый,Голландия,-,10,50,91.50,915.00
Пион,L Sara Bernhard ,https://bbflowers.ru/catalog/pion/pion_l_sara_bernhard_55sm/,55 см,-,розовый,Голландия,-,10,216,91.50,915.00
Шамелациум,Maya,https://bbflowers.ru/catalog/ekzotika/shamelacium_maya_80sm/,80 см,50 гр,белый,Голландия,-,25,10,97.50,2 437.50
Роза,Tr Pink Blossoms кустовая пионовидная ,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_pink_blossoms_kustovaya_pionovidnaya_60sm/,60 см,-,бело-розовый,Голландия,-,10,60,97.50,975.00
Пион,L Mr Jules Elie,https://bbflowers.ru/catalog/pion/pion_l_mr_jules_elie_55sm/,55 см,-,светло-розовый,Голландия,-,10,40,98.50,985.00
Подсолнух,Sunrich Orange,https://bbflowers.ru/catalog/ekzotika/podsolnuh_sunrich_orange_80sm/,80 см,-,жёлтый,Голландия,-,10,120,98.50,985.00
Роза,Tr Class Sensation кустовая пионовидная ,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_class_sensation_kustovaya_pionovidnaya_60sm/,60 см,-,фиолетовый,Голландия,-,10,175,98.50,985.00
Вибурнум,Op Compactum,https://bbflowers.ru/catalog/ekzotika/viburnum_op_compactum_70sm/,70 см,-,красный,Голландия,-,10,40,110.50,1 105.00
Роза,Tr Barbados кустовая,https://bbflowers.ru/catalog/roza/roza_kustovaya/roza_tr_barbados_kustovaya_60sm/,60 см,-,коралловый,Кения,-,10,10,117.50,1 175.00
